Name,Year,Rating,Runtime,Votes
Untitled Ranveer Singh & Shankar Film,,,,
Baaghi 4,,,,
Banda Yeh Bindaas Hai,2021,,,
Raag,2021,,,
Cabaret,2019,3.4,95.0,175.0
Thank God,2021,,,
Half Songs,2021,9.7,79.0,7.0
Happy Hardy and Heer,2020,5.9,123.0,580.0
Aankh Micholi,2021,,,
Shiddat,,,,
Fighter,2022,,,
Lihaaf: The Quilt,2019,7.1,85.0,29.0
Tishnagi,2018,4.1,136.0,27.0
Galti,2021,5.6,,5.0
Tadka,,,,
Sarabha,2018,6.8,137.0,65.0
No Means No,2021,,,
Bad Boy,2020,,,
Gone Kesh,2019,7.0,110.0,1222.0
Teri Khata,,,,
Muddy,2021,,,
Fauji Calling,2021,5.4,134.0,77.0
Karma,2021,,105.0,
Khamoshi,2019,3.5,96.0,239.0
Ayalaan,,,,
Aasma,2018,5.2,105.0,8.0
LLD,2020,,95.0,
377 AbNormal,2019,5.6,93.0,93.0
Doctor I Love You,2021,7.9,,65.0
Guns of Banaras,2020,6.8,134.0,41.0
Tryst with Destiny,2020,8.0,96.0,13.0
Rakkhosh,2019,4.7,128.0,162.0
Second Innings,,,,
Yahan Sabhi Gyani Hain,2020,5.1,115.0,244.0
Phamous,2018,3.8,115.0,282.0
Darlings,2021,,,
Footfairy,2020,5.0,115.0,287.0
3 Storeys,2018,6.9,100.0,358.0
Good Luck Jerry,2021,,,
Thar,,,,
Helicopter Eela,2018,5.6,135.0,1042.0
Sangeen,2021,,,
Gul Makai,2020,2.4,132.0,213.0
Minnal Murali,2021,,,
Untitled Luv Ranjan Film,2022,,,
Bhabhipedia,2018,8.3,107.0,84.0
Nakkash,2019,7.0,,42.0
Used,2019,7.1,57.0,20.0
Taalismaan,2021,,,
Ghar Pe Bataao,2021,7.6,72.0,43.0
Screwdriver,(V,,,
Consequence Karma,2021,9.0,92.0,223.0
Tape Recorder,2021,,,
Queen of Sajjangarh,2021,5.9,,20.0
Badhaai Do,2021,,,
Battalion 609,2019,2.8,131.0,101.0
Doctor G,,,,
Kabaad- The Coin,2021,6.6,132.0,76.0
Shubh Raatri,2020,4.5,52.0,67.0
Shashank,2021,,,
Pippa,2021,,,
Kasaai,2019,6.6,96.0,29.0
Janhit Mein Jaari,2021,,,
Miss match India,,,,
Setters,2019,5.3,126.0,246.0
Switchh,2021,4.2,130.0,11.0
The Last Show,2021,,,
Abhi toh party shuru hui hai,,,,
Atithi Bhooto Bhava,2021,,,
706,2019,5.3,120.0,449.0
Baarish Aur Chowmein,2018,6.1,48.0,270.0
Chote Nawab,2020,6.1,108.0,7.0
Sir Sir Sarla,2020,,,
Mrs Undercover,2021,,,
Aafat-e-Ishq,2021,,,
The Past,2018,3.5,120.0,164.0
The Kashmir Files,,,,
Nirvana Inn,2019,5.9,95.0,200.0
Family of Thakurganj,2019,8.4,127.0,427.0
Kuch Pal Pyar Ke,2018,4.3,104.0,18.0
Bulbul Can Sing,2018,6.8,95.0,323.0
3 Dev,2019,6.9,122.0,35.0
Koi Sath Hai,2021,3.1,,18.0
Antenna,2021,7.1,84.0,7.0
Moksh To Maya,2019,4.2,113.0,45.0
I Am Not a Player,2021,,,
Srinagar,2020,9.1,,28.0
Bahattar Hoorain,2019,8.8,120.0,23.0
Sher Gujjar,2021,,,
Meenakshi Sundareshwar,,,,
Tara Mira,2019,7.3,120.0,31.0
Jaadugar,,,,
Milan Talkies,2019,5.0,141.0,321.0
Bombairiya,2019,4.5,104.0,381.0
Daas Dev,2018,5.1,140.0,257.0
The Platform,(I,,,
Sanak,2021,,,
Sharma Ji Ki Lag Gayi,2019,4.9,122.0,251.0
Desi Magic,2021,,,
Indian 2,,,,
Mahavir Karna,,,,
Odd Couple,2019,8.2,117.0,13.0
Halkaa,2018,7.2,114.0,378.0
Unfair & Lovely,2021,,,
Shukrdosh,2021,,,
Sakshi,2021,,112.0,
Nanu Ki Jaanu,2018,5.9,133.0,954.0
Hum Chaar,2019,5.7,143.0,285.0
Dobaara,2018,6.9,66.0,59.0
Josef - Born in Grace,2019,8.9,100.0,11.0
Bole Chudiyan,2021,,,
Purdah,2018,8.1,71.0,276.0
Sabaash Naidu,,,,
Lomad,,,,
Agra,,,,
Nirdosh,2018,3.9,110.0,138.0
Mee Raqsam,2020,6.7,80.0,384.0
Viraat,2021,8.9,150.0,294.0
Virgin Bhanupriya,2020,2.9,111.0,1095.0
Yeh Suhaagraat Impossible,2019,8.6,92.0,500.0
Turtle,2018,8.6,,9.0
Kaashi in Search of Ganga,2018,5.4,125.0,259.0
High Jack,2018,5.4,102.0,303.0
Cookie,2020,6.2,104.0,191.0
Bhor: Dawn,2018,7.8,93.0,147.0
Babloo Bachelor,2021,,,
Myakut,2020,,,
The Killer Pen,2021,,,
Main Zaroor Aaunga,2019,4.1,100.0,47.0
Mrs.Chatterjee v/s Norway,,,,
Wedlock,2021,,,
Little Singham: Kaal Ka Badla,2020,6.1,69.0,12.0
State of Siege: Temple Attack,2021,,,
Puratchi Thalaivi,2021,,,
Lashtam Pashtam,2018,6.0,108.0,77.0
Ghubar,2022,,,
Chanakya,2019,5.5,147.0,521.0
Ajayante Randam Moshanam,2021,,,
Baikunth,2021,9.3,72.0,29.0
Regards & Peace,2020,5.5,89.0,27.0
Showtime - A Mocumentry,,,,
House No. 446,2021,7.8,,8.0
Chidiakhana,2019,,115.0,
Dheet Patangey,2020,7.3,,64.0
Taxi No. 24,2021,,,
Holy Cow,2021,,,
S.P. Chauhan,2019,5.4,136.0,348.0
Chatrapathi Hindi Remake,2021,,,
Vilom,2020,6.2,82.0,56.0
Chhorriyan Chhoron Se Kam Nahi Hoti,2019,6.9,,31.0
Hanuman vs. Mahiravana,2018,6.9,91.0,103.0
Ala Vaikunthapurramuloo Hindi Remake,,,,
Woh Ladki Hai Kahaan,2021,,,
Dhuusar,2019,8.9,106.0,47.0
Chicken Curry Law,2019,5.3,127.0,30.0
Laila Manju,2020,6.7,,7.0
X Ray: The Inner Image,2019,3.4,93.0,40.0
Baa Baaa Black Sheep,2018,6.4,103.0,446.0
Devil's Daughter,2019,2.6,89.0,172.0
Squad,2020,,,
Darkness Visible,2019,5.6,107.0,329.0
Gamanam,2021,,,
Marne Bhi Do Yaaron,2019,4.9,130.0,73.0
Zahoor,,,,
Rai,,,,
